Alderaan             12500  grasslands/mountains
Yavin_IV             10200  jungle/rainforests
Hoth                  7200  tundra/icecaves/mountainranges
Dagobah               8900  swamp/jungles
Bespin              118000  gasgiant
Endor                 4900  forests/mountains/lakes
Naboo                12120  grassyhills/swamps/forests/mountains
Coruscant            12240  cityscape/mountains
Kamino               19720  ocean
Geonosis             11370  rock/desert/mountain/barren
Utapau               12900  scrublands/savanna/canyons/sinkholes
Mustafar              4200  volcanoes/lavarivers/mountains/caves
Kashyyyk             12765  jungle/forests/lakes/rivers
Polis_Massa      unknown    airlessasteroid
Mygeeto              10088  glaciers/mountains/icecanyons
Felucia               9100  fungusforests
Cato_Neimoidia   unknown    mountains/fields/forests/rockarches
Saleucami            14920  caves/desert/mountains/volcanoes
Stewjon          unknown    grass
Eriadu               13490  cityscape
Corellia             11000  plains/urban/hills/forests
Rodia                 7549  jungles/oceans/urban/swamps
Nal_Hutta            12150  urban/oceans/swamps/bogs
Dantooine             9830  oceans/savannas/mountains/grasslands
Bestine_IV            6400  rockyislands/oceans
Ord_Mantell          14050  plains/seas/mesas
Trandosha        unknown    mountains/seas/grasslands/deserts
Socorro          unknown    deserts/mountains
Mon_Cala             11030  oceans/reefs/islands
Chandrila            13500  plains/forests
Sullust              12780  mountains/volcanoes/rockydeserts
Toydaria              7900  swamps/lakes
Malastare            18880  swamps/deserts/jungles/mountains
Dathomir             10480  forests/deserts/savannas
Ryloth               10600  mountains/valleys/deserts/tundra
Aleen_Minor      unknown    unknown
Vulpter              14900  urban/barren
Troiken          unknown    desert/tundra/rainforests/mountains
Tund                 12190  barren/ash
Haruun_Kal           10120  toxiccloudsea/plateaus/volcanoes
Cerea            unknown    verdant
Glee_Anselm          15600  lakes/islands/swamps/seas
Iridonia         unknown    rockycanyons/acidpools
Tholoth          unknown    unknown
Iktotch          unknown    rocky
Quermia          unknown    unknown
Dorin                13400  unknown
Champala         unknown    oceans/rainforests/plateaus
Mirial           unknown    deserts
Serenno          unknown    rainforests/rivers/mountains
Concord_Dawn     unknown    jungles/forests/deserts
Zolan            unknown    unknown
Ojom             unknown    oceans/glaciers
Skako            unknown    urban/vines
Muunilinst           13800  plains/forests/hills/mountains
Shili            unknown    cities/savannahs/seas/plains
Kalee                13850  rainforests/cliffs/canyons/seas
Umbara           unknown    unknown
Tatooine             10465  desert
Jakku            unknown    deserts
